Country Name,Country Code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,
Aruba,ABW,92.6139831542969,92.8388214111328,93.086166381836,93.3545455932617,93.3562921509542,93.9423751831055,94.2558135986328,94.5782623291016,94.9067230224609,95.2381820678711,95.5701446533203,,
Afghanistan,AFG,28.2286128997803,33.7486801147461,42.4,44.8548851013184,42.7,43.2220189082037,69.1,67.2595520019531,89.5,71.5,84.1371383666992,,
Angola,AGO,29.1036758422852,37.5,31.2680130004883,32.3824691772461,33.514949798584,34.6,35.821964263916,36.9904899597168,32,42,40.5206069946289,,
Albania,ALB,100,100,100,100,100,100,100,100,100,100,100,,
Andorra,AND,100,100,100,100,100,100,100,100,100,100,100,,
Arab World,ARB,85.8002961272357,84.7357232408233,85.4328268149662,85.1898151220048,86.1361336464124,86.782683284186,87.2882439402148,88.3897051476481,88.0767741380158,88.5179673938546,88.7686540243445,,
United Arab Emirates,ARE,100,100,100,100,100,100,100,100,100,100,100,,
Argentina,ARG,97.1672210693359,97.5394134521484,97.9341278076172,98.3633651733398,98.82,99.2161636352539,99.5844116210938,99.8371276855469,99.9592437744141,99.9952087402344,100,,
Armenia,ARM,99.2657318115234,99.3310394287109,99.4156494140625,99.5198135375976,99.8,99.7671508789062,99.8788757324219,99.9540557861328,99.9889755249023,100,100,,
American Samoa,ASM,,,,,,,,,,,,,
Antigua and Barbuda,ATG,92.4344024658203,92.8556442260742,93.2994079589844,93.7641983032227,94.2470092773438,94.5520140336941,95.2546920776367,95.773551940918,96.2984161376953,96.8262939453125,97.3546676635742,,
Australia,AUS,100,100,100,100,100,100,100,100,100,100,100,,
Austria,AUT,100,100,100,100,100,100,100,100,100,100,100,,
Azerbaijan,AZE,99.5,99.562141418457,99.7418060302734,99.8847351074219,99.9656753540039,99.9,99.9997100830078,100,100,100,100,,
Burundi,BDI,4.58806562423706,4.81732225418091,4.8,5.3419041633606,5.3,5.93858003616333,6.5,6.58331918716431,7,7.25208950042725,7.58847713470459,,
Belgium,BEL,100,100,100,100,100,100,100,100,100,100,100,,
Benin,BEN,27.9,29.3367118835449,30.6212387084961,31.9267921447754,34.2,36.9,38.4,37.2992057800293,34.1,40.0334777832031,41.4026145935059,,
Burkina Faso,BFA,12.5818758010864,13.1693744659424,13.7793941497803,14.4104413986206,13.1,15.7236022949219,16.3997077941895,17.0848274230957,19.2,18.4700813293457,19.1647129058838,,
Bangladesh,BGD,50.5251024590164,46.5,51.2497749328613,53.6328544616699,55.26,59.6,60.8782157897949,61.5,62.4,68.2046813964844,75.92,,
Bulgaria,BGR,100,100,100,100,100,100,100,100,100,100,100,,
Bahrain,BHR,100,100,100,100,100,100,100,100,100,100,100,,
"Bahamas, The",BHS,97.900764465332,98.3253021240234,98.7536849975586,99.1822662353516,99.5609893798828,99.8256530761719,99.9557952880859,99.9947357177734,100,100,100,,
Bosnia and Herzegovina,BIH,99.3872769868445,99.7,99.5800399780273,99.7254028320313,99.8557586669922,99.7057805469021,99.9866180419922,99.9984893798828,100,100,100,,
Belarus,BLR,100,100,100,100,100,100,100,100,100,100,100,,
Belize,BLZ,90.9885308574549,90.4782562255859,90.6150207519531,90.7728118896484,89.9172243747798,91.6817359855335,91.3423233032227,91.5541839599609,91.7720565795898,91.8,92.2143173217773,,
Bermuda,BMU,100,100,100,100,100,100,100,100,100,100,100,,
Bolivia,BOL,76.211281,80.156567,84.674991,86.765597,84.2948150634766,88.335943,90.387375,89.505686,90.038729,91.522822,93.0391311645508,,
